,alive,alive_perc,dead,dead_perc,mu,sigma,lower_bound,upper_bound
36,370,0.037,18,0.963,12.789096573208722,0.07539251131131294,13.6708,14.17227414330218
37,322,0.0322,48,0.9678,12.909175449473032,0.07698519995440957,13.6849,14.140214920438108
38,303,0.0303,19,0.9697,12.958337630194904,0.0776562133437487,13.736299999999998,14.145715169640093
39,248,0.0248,55,0.9752,13.1052091878589,0.07970373983922814,13.747399999999999,14.097005742411813
40,229,0.0229,19,0.9771,13.15750690819773,0.08044680105991588,13.786900000000003,14.094974925800841
41,200,0.02,29,0.98,13.239897959183674,0.08165078465947519,13.7951,14.076632653061225
42,180,0.018,20,0.982,13.298472505091649,0.08252840489984956,13.8272,14.068329938900202
43,156,0.0156,24,0.9844,13.370885818772855,0.08364055413135198,13.833099999999998,14.052316131653798
44,145,0.0145,11,0.9855,13.405073566717402,0.08418004542111698,13.8577,14.052460679857939
45,125,0.0125,20,0.9875,13.469063291139243,0.08521704070932186,13.863200000000003,14.0386835443038
46,116,0.0116,9,0.9884,13.49868474301902,0.08570961336078071,13.882399999999999,14.038547146904087
47,102,0.0102,14,0.9898,13.546069913113762,0.0865190274058814,13.887300000000002,14.030410183875532
48,95,0.0095,7,0.9905,13.570418980312974,0.08694602032726113,13.903300000000002,14.030792529025746
49,81,0.0081,14,0.9919,13.62042544611352,0.08784456823325079,13.907,14.02056658937393
50,76,0.0076,5,0.9924,13.638754534461912,0.08818195950576378,13.920200000000001,14.021664651350264
51,64,0.0064,12,0.9936,13.683876811594201,0.08903238792636504,13.922699999999999,14.012379227053138
52,61,0.0061,3,0.9939,13.695442197404166,0.08925557914495305,13.934000000000001,14.014588992856424
53,54,0.0054,7,0.9946,13.723104765734972,0.08980311194403143,13.935200000000004,14.010858636637847
54,53,0.0053,1,0.9947,13.727153915753494,0.08988533260159091,13.944700000000001,14.01487885794712
55,48,0.0048,5,0.9952,13.747889871382638,0.09031731678315205,13.945900000000002,14.013163183279744
56,47,0.0047,1,0.9953,13.752135034662917,0.0904079641107401,13.953800000000001,14.01657791620617
57,42,0.0042,5,0.9958,13.77385017071701,0.09088269961634195,13.9554,14.014259891544485
58,42,0.0042,0,0.9958,13.77385017071701,0.09088269961634195,13.962699999999998,14.018477605944968
59,36,0.0036,6,0.9964,13.80108390204737,0.0915055781251376,13.963799999999999,14.01425130469691
60,33,0.0033,3,0.9967,13.814989465235278,0.0918295850923296,13.969400000000002,14.013645028594363
61,29,0.0029,4,0.9971,13.833918363253433,0.09227923275978112,13.970699999999999,14.011332865309395
62,25,0.0025,4,0.9975,13.853233082706767,0.09274623944591338,13.9749,14.008621553884712
63,23,0.0023,2,0.9977,13.863085095720157,0.09298893827601294,13.9761,14.00831913400822
64,23,0.0023,0,0.9977,13.863085095720157,0.09298893827601294,13.979800000000001,14.010624436203269
65,18,0.0018,5,0.9982,13.888699659386896,0.09364534386866204,13.9807,14.005910639150471
66,16,0.0016,2,0.9984,13.899138621794872,0.09391707891985174,13.9833,14.004907852564102
67,13,0.0013,3,0.9987,13.91508961650145,0.09433935302212232,13.9841,14.002302993892059
68,12,0.0012,1,0.9988,13.920504605526634,0.09448520261672835,13.985900000000003,14.002202643171808
69,9,0.0009,3,0.9991,13.937043339005104,0.09493814337612161,13.9866,13.999199279351416
70,9,0.0009,0,0.9991,13.937043339005104,0.09493814337612161,13.9881,14.000100090081073
71,8,0.0008,1,0.9992,13.94275420336269,0.09510026785413082,13.988399999999999,13.999599679743794
72,8,0.0008,0,0.9992,13.94275420336269,0.09510026785413082,13.989799999999999,14.000400320256205
73,7,0.0007,1,0.9993,13.948664064845392,0.0952742217466377,13.99,13.999799859901932
74,7,0.0007,0,0.9993,13.948664064845392,0.0952742217466377,13.9913,14.000500350245172
75,7,0.0007,0,0.9993,13.948664064845392,0.0952742217466377,13.9914,14.001200840588412
76,7,0.0007,0,0.9993,13.948664064845392,0.0952742217466377,13.9926,14.001901330931652
77,5,0.0005,2,0.9995,13.96128064032016,0.09567197002557079,13.992799999999999,13.999799899949975
78,5,0.0005,0,0.9995,13.96128064032016,0.09567197002557079,13.9937,14.000300150075038
79,5,0.0005,0,0.9995,13.96128064032016,0.09567197002557079,13.9938,14.0008004002001
80,5,0.0005,0,0.9995,13.96128064032016,0.09567197002557079,13.9946,14.001300650325163
81,3,0.0003,2,0.9997,13.974692407722316,0.09612175839928691,13.9948,13.998999699909971
82,3,0.0003,0,0.9997,13.974692407722316,0.09612175839928691,13.995199999999999,13.99929978993698
83,2,0.0002,1,0.9998,13.981596319263852,0.09635978509838562,13.9954,13.998199639927986
84,2,0.0002,0,0.9998,13.981596319263852,0.09635978509838562,13.9957,13.998399679935988
85,2,0.0002,0,0.9998,13.981596319263852,0.09635978509838562,13.9958,13.998599719943988
86,2,0.0002,0,0.9998,13.981596319263852,0.09635978509838562,13.9962,13.99879975995199
87,2,0.0002,0,0.9998,13.981596319263854,0.09635978509838562,13.996200000000002,13.998999799959993
88,2,0.0002,0,0.9998,13.981596319263854,0.09635978509838562,13.996500000000001,13.999199839967995
89,1,0.0001,1,0.9999,13.989098909890991,0.09664181198097371,13.996600000000003,13.99799979998
90,1,0.0001,0,0.9999,13.989098909890991,0.09664181198097371,13.996700000000002,13.998099809981
91,0,0.0,1,1.0,13.9968,0.09693853044000815,13.9968,13.9968
